Model Spend_Optim

  Variables:
    edlp : Size=312, Index=edlp_index
        Key     : Lower : Value              : Upper : Fixed : Stale : Domain
        (0, 12) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 13) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 14) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 15) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 16) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 17) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 18) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 19) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 20) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 21) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 22) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 23) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 24) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 25) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 26) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 27) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
        (0, 28) :  0.05 :   0.491308480336085 :   0.5 : False : False : NonNegativeReals
